LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01000492,0.39,0.62,0.39,0.23,0.23,0.7,0.23,0.85,0.85,0.46,4.95,1294
E01000493,0.31,0.38,0.31,0.19,0.19,0.57,0.19,0.57,0.69,0.38,3.78,1588
E01000494,0.28,0.45,0.34,0.17,0.17,0.51,0.17,0.62,0.62,0.34,3.69,1763
E01000495,0.37,0.5,0.37,0.12,0.19,0.56,0.37,0.81,0.56,0.37,4.24,1602
E01000497,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.63,0.63,0.29,3.55,2059
E01000498,0.35,0.47,0.35,0.18,0.18,0.53,0.29,0.77,0.65,0.35,4.12,1698
E01000499,0.31,0.42,0.31,0.16,0.16,0.57,0.26,0.68,0.68,0.42,3.97,1914
E01000501,0.25,0.39,0.29,0.15,0.15,0.44,0.29,0.54,0.54,0.29,3.34,2037
E01000502,0.32,0.42,0.32,0.16,0.16,0.48,0.26,0.48,0.58,0.32,3.5,1887
E01000503,0.24,0.29,0.29,0.14,0.14,0.43,0.24,0.53,0.53,0.29,3.1,2094
E01000504,0.33,0.44,0.33,0.11,0.17,0.5,0.17,0.61,0.61,0.33,3.58,1818
E01000505,0.29,0.35,0.35,0.18,0.18,0.53,0.29,0.65,0.53,0.35,3.71,1700
E01000506,0.3,0.47,0.35,0.18,0.18,0.53,0.35,0.77,0.65,0.35,4.14,1692
E01000507,0.37,0.49,0.37,0.12,0.18,0.55,0.31,0.55,0.67,0.37,3.98,1632
E01000508,0.23,0.31,0.23,0.11,0.11,0.42,0.23,0.5,0.42,0.23,2.78,2622
E01000509,0.34,0.4,0.4,0.2,0.2,0.6,0.34,0.54,0.74,0.54,4.3,1488
E01000510,0.34,0.46,0.34,0.17,0.17,0.63,0.34,0.74,0.63,0.34,4.18,1748
E01000511,0.34,0.45,0.34,0.17,0.11,0.45,0.17,0.5,0.73,0.45,3.69,1787
E01000512,0.29,0.46,0.34,0.17,0.17,0.52,0.29,0.63,0.75,0.34,3.96,1744
E01000513,0.35,0.47,0.29,0.18,0.18,0.47,0.29,0.53,0.65,0.35,3.77,1699
E01000514,0.32,0.39,0.32,0.19,0.13,0.58,0.13,0.58,0.71,0.39,3.74,1552
E01000515,0.32,0.42,0.32,0.16,0.16,0.47,0.32,0.58,0.58,0.42,3.74,1897
E01000516,0.27,0.4,0.27,0.13,0.09,0.49,0.27,0.58,0.49,0.27,3.23,2257
E01000517,0.37,0.49,0.31,0.19,0.19,0.68,0.37,0.8,0.68,0.37,4.45,1618
E01000518,0.32,0.42,0.32,0.16,0.11,0.47,0.16,0.58,0.58,0.42,3.53,1900
E01000519,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.55,0.55,0.4,3.58,1984
E01000520,0.29,0.47,0.35,0.18,0.18,0.65,0.35,0.77,0.65,0.35,4.25,1696
E01000521,0.26,0.34,0.26,0.13,0.13,0.38,0.21,0.55,0.47,0.26,2.98,2348
E01000522,0.24,0.38,0.28,0.14,0.14,0.43,0.24,0.43,0.62,0.38,3.27,2108
E01000523,0.25,0.33,0.25,0.13,0.13,0.38,0.25,0.54,0.46,0.33,3.05,2394
E01000524,0.24,0.33,0.24,0.12,0.12,0.45,0.24,0.53,0.53,0.33,3.13,2460
E01000525,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.67,0.41,3.8,1946
E01000526,0.26,0.35,0.26,0.13,0.13,0.49,0.26,0.57,0.57,0.26,3.31,2267
E01000527,0.26,0.41,0.31,0.15,0.15,0.46,0.26,0.66,0.56,0.41,3.62,1960
E01000528,0.29,0.35,0.35,0.18,0.18,0.53,0.18,0.64,0.76,0.53,3.97,1713
E01000530,0.28,0.44,0.33,0.11,0.17,0.33,0.17,0.5,0.61,0.33,3.25,1816
E01000531,0.27,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.6,0.33,3.84,1824
E01000532,0.32,0.52,0.39,0.13,0.13,0.58,0.32,0.71,0.58,0.39,4.06,1552
E01000533,0.27,0.36,0.27,0.13,0.13,0.4,0.27,0.58,0.49,0.27,3.19,2229
E01000534,0.34,0.34,0.34,0.17,0.17,0.51,0.11,0.51,0.62,0.34,3.45,1769
E01000535,0.24,0.38,0.29,0.14,0.14,0.53,0.29,0.62,0.62,0.29,3.54,2088
E01000536,0.38,0.51,0.38,0.19,0.13,0.57,0.38,0.82,0.82,0.38,4.55,1584
E01000538,0.37,0.49,0.37,0.18,0.18,0.55,0.18,0.55,0.68,0.37,3.94,1626
E01000539,0.3,0.49,0.3,0.18,0.12,0.49,0.12,0.49,0.55,0.36,3.41,1644
E01000540,0.41,0.41,0.34,0.2,0.14,0.54,0.34,0.74,0.74,0.41,4.26,1478
E01000541,0.21,0.42,0.42,0.21,0.21,0.56,0.35,0.77,0.91,0.56,4.63,1426
E01000543,0.3,0.48,0.36,0.18,0.18,0.54,0.3,0.78,0.66,0.48,4.28,1658
E01000544,0.29,0.46,0.35,0.17,0.17,0.46,0.35,0.75,0.52,0.35,3.86,1735
E01000545,0.31,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.67,0.41,3.87,1940
E01000546,0.3,0.48,0.36,0.18,0.18,0.54,0.36,0.78,0.66,0.48,4.3,1675
E01000547,0.36,0.47,0.3,0.18,0.18,0.53,0.3,0.53,0.53,0.36,3.73,1688
E01000548,0.3,0.46,0.3,0.15,0.15,0.46,0.3,0.66,0.56,0.41,3.76,1969
E01000549,0.33,0.33,0.33,0.17,0.17,0.5,0.28,0.61,0.61,0.33,3.64,1811
E01000550,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.64,0.54,0.39,3.57,2046
E01000551,0.21,0.27,0.21,0.1,0.1,0.38,0.21,0.44,0.31,0.27,2.5,2925
E01000552,0.38,0.51,0.38,0.19,0.19,0.69,0.32,0.69,0.57,0.51,4.42,1583
E01000553,0.29,0.38,0.29,0.14,0.14,0.43,0.29,0.62,0.53,0.29,3.39,2093
E01000554,0.25,0.4,0.3,0.15,0.15,0.44,0.25,0.64,0.54,0.4,3.51,2023
E01000555,0.31,0.49,0.37,0.18,0.12,0.49,0.18,0.55,0.67,0.37,3.74,1630
E01000556,0.24,0.38,0.29,0.14,0.14,0.43,0.29,0.62,0.53,0.38,3.44,2093
E01000557,0.32,0.42,0.32,0.16,0.16,0.42,0.16,0.48,0.58,0.42,3.43,1893
E01000558,0.35,0.56,0.42,0.14,0.21,0.78,0.35,0.92,0.78,0.42,4.94,1416
E01000559,0.35,0.57,0.43,0.21,0.21,0.64,0.43,0.92,0.64,0.57,4.96,1410
E01000560,0.32,0.51,0.38,0.19,0.19,0.58,0.19,0.7,0.58,0.38,4.03,1564
E01000561,0.31,0.42,0.31,0.16,0.16,0.47,0.31,0.68,0.58,0.42,3.82,1911
E01000562,0.33,0.4,0.4,0.13,0.13,0.6,0.13,0.4,0.73,0.4,3.64,1510
E01000563,0.32,0.38,0.32,0.13,0.19,0.57,0.32,0.57,0.7,0.38,3.86,1581
E01000564,0.3,0.48,0.36,0.18,0.18,0.48,0.36,0.78,0.66,0.36,4.12,1676
E01000565,0.32,0.51,0.38,0.19,0.19,0.7,0.19,0.82,0.7,0.38,4.38,1576
E01000566,0.32,0.38,0.32,0.19,0.19,0.58,0.32,0.51,0.7,0.38,3.9,1564
E01000567,0.35,0.55,0.35,0.21,0.21,0.62,0.21,0.76,0.62,0.41,4.28,1447
E01000568,0.26,0.34,0.26,0.13,0.13,0.47,0.26,0.56,0.56,0.34,3.3,2333
E01000569,0.34,0.41,0.34,0.14,0.21,0.41,0.21,0.55,0.62,0.41,3.64,1458
E01000570,0.32,0.39,0.39,0.19,0.13,0.58,0.19,0.71,0.71,0.39,3.99,1552
E01000571,0.33,0.44,0.33,0.17,0.17,0.5,0.17,0.5,0.61,0.44,3.64,1811
E01000572,0.34,0.4,0.4,0.2,0.13,0.4,0.2,0.54,0.61,0.4,3.64,1482
E01000573,0.29,0.35,0.35,0.18,0.18,0.47,0.29,0.47,0.53,0.35,3.45,1712
E01000574,0.36,0.48,0.36,0.18,0.12,0.48,0.36,0.65,0.53,0.36,3.86,1683
E01000575,0.23,0.38,0.28,0.14,0.14,0.42,0.28,0.61,0.52,0.38,3.38,2131
E01000576,0.27,0.43,0.32,0.16,0.11,0.48,0.27,0.69,0.59,0.32,3.63,1871
E01000577,0.24,0.32,0.24,0.12,0.12,0.43,0.2,0.51,0.43,0.32,2.92,2538
E01000578,0.26,0.34,0.26,0.13,0.13,0.38,0.21,0.55,0.47,0.26,2.98,2351
E01000579,0.32,0.38,0.38,0.19,0.13,0.57,0.32,0.7,0.83,0.38,4.19,1575
E01000580,0.29,0.38,0.29,0.14,0.14,0.43,0.29,0.63,0.63,0.29,3.51,2079
E01000581,0.33,0.4,0.4,0.2,0.13,0.54,0.2,0.87,0.6,0.4,4.08,1494
E01000582,0.27,0.44,0.33,0.16,0.16,0.44,0.27,0.6,0.49,0.44,3.62,1822
E01000583,0.29,0.38,0.29,0.14,0.14,0.43,0.24,0.62,0.53,0.38,3.45,2084
E01000584,0.19,0.5,0.38,0.19,0.13,0.5,0.31,0.82,0.69,0.38,4.09,1588
E01000585,0.32,0.52,0.32,0.13,0.13,0.58,0.19,0.58,0.71,0.39,3.88,1547
E01000586,0.24,0.33,0.24,0.12,0.12,0.45,0.24,0.53,0.53,0.24,3.06,2449
E01000587,0.37,0.49,0.37,0.18,0.12,0.49,0.18,0.67,0.79,0.37,4.02,1642
E01000589,0.2,0.31,0.24,0.12,0.12,0.35,0.24,0.51,0.43,0.24,2.75,2544
E01000590,0.26,0.41,0.26,0.15,0.15,0.31,0.31,0.46,0.46,0.41,3.18,1950
E01000591,0.22,0.36,0.27,0.13,0.13,0.49,0.27,0.58,0.49,0.27,3.21,2246
E01000592,0.34,0.45,0.34,0.17,0.17,0.62,0.34,0.73,0.62,0.34,4.1,1781
E01000593,0.23,0.37,0.28,0.14,0.14,0.42,0.14,0.42,0.51,0.28,2.93,2151
E01000594,0.27,0.43,0.33,0.16,0.16,0.6,0.33,0.71,0.6,0.33,3.91,1842
E01000595,0.27,0.33,0.33,0.16,0.16,0.49,0.33,0.71,0.6,0.49,3.86,1837
E01000596,0.27,0.43,0.32,0.16,0.11,0.48,0.27,0.59,0.59,0.32,3.53,1868
E01000599,0.33,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.6,0.44,3.97,1837
E01000601,0.43,0.57,0.43,0.21,0.21,0.92,0.43,0.92,0.78,0.43,5.32,1411
E01000602,0.41,0.54,0.41,0.2,0.2,0.61,0.41,0.75,0.75,0.54,4.81,1476
E01000603,0.4,0.6,0.4,0.2,0.2,0.6,0.2,0.6,0.6,0.4,4.23,1489
E01000604,0.28,0.45,0.34,0.17,0.11,0.51,0.28,0.51,0.62,0.45,3.71,1778
E01000605,0.34,0.34,0.34,0.17,0.17,0.45,0.28,0.74,0.74,0.45,4.02,1768
E01000606,0.27,0.43,0.32,0.16,0.11,0.43,0.11,0.59,0.59,0.32,3.32,1867
E01000607,0.24,0.32,0.2,0.12,0.12,0.36,0.2,0.43,0.43,0.24,2.65,2530
E01000608,0.21,0.34,0.25,0.13,0.13,0.38,0.25,0.55,0.46,0.34,3.04,2368
E01000609,0.24,0.29,0.29,0.14,0.14,0.43,0.29,0.63,0.53,0.29,3.28,2073
E01000610,0.22,0.36,0.27,0.13,0.09,0.49,0.22,0.49,0.49,0.36,3.14,2231
E01000611,0.26,0.42,0.32,0.16,0.11,0.48,0.16,0.42,0.58,0.32,3.23,1891
E01000612,0.28,0.45,0.34,0.17,0.17,0.45,0.17,0.45,0.62,0.34,3.46,1765
E01000613,0.28,0.28,0.28,0.17,0.17,0.45,0.28,0.51,0.62,0.34,3.39,1771
E01000615,0.15,0.24,0.18,0.09,0.09,0.39,0.18,0.39,0.39,0.27,2.37,3338
E01000616,0.25,0.41,0.31,0.15,0.15,0.56,0.31,0.66,0.46,0.31,3.56,1964
E01000617,0.22,0.35,0.27,0.13,0.13,0.4,0.27,0.57,0.49,0.35,3.18,2261
E01000618,0.29,0.35,0.35,0.18,0.18,0.64,0.29,0.47,0.64,0.35,3.73,1714
E01000619,0.29,0.35,0.35,0.18,0.12,0.64,0.12,0.47,0.64,0.35,3.51,1711
E01000620,0.27,0.44,0.33,0.16,0.16,0.49,0.27,0.71,0.71,0.33,3.88,1828
E01000621,0.33,0.44,0.33,0.17,0.17,0.44,0.33,0.72,0.72,0.44,4.1,1806
E01000622,0.31,0.41,0.31,0.15,0.15,0.46,0.15,0.67,0.56,0.31,3.49,1951
E01000623,0.16,0.42,0.27,0.16,0.16,0.48,0.32,0.69,0.69,0.42,3.77,1883
E01000624,0.34,0.45,0.28,0.17,0.17,0.45,0.28,0.62,0.62,0.45,3.85,1768
E01000625,0.29,0.47,0.35,0.18,0.18,0.53,0.29,0.65,0.53,0.35,3.81,1705
E01000626,0.33,0.52,0.39,0.2,0.2,0.59,0.33,0.72,0.72,0.39,4.37,1533
E01000627,0.24,0.29,0.29,0.14,0.14,0.38,0.29,0.63,0.53,0.38,3.32,2078
E01000628,0.28,0.44,0.33,0.17,0.17,0.5,0.17,0.72,0.61,0.44,3.83,1802
E01000629,0.25,0.4,0.3,0.15,0.1,0.4,0.25,0.65,0.45,0.3,3.23,2014
E01000630,0.22,0.3,0.22,0.11,0.11,0.41,0.22,0.48,0.41,0.3,2.79,2685
E01000631,0.29,0.24,0.29,0.14,0.14,0.43,0.24,0.53,0.53,0.29,3.11,2092
E01000632,0.23,0.31,0.23,0.12,0.12,0.43,0.2,0.51,0.35,0.23,2.74,2556
E01000633,0.19,0.31,0.23,0.12,0.12,0.35,0.23,0.5,0.35,0.31,2.71,2584
