LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,population_mean_2019_2022
E01002363,0.4,0.54,0.4,0.2,0.2,0.54,0.4,0.6,0.87,0.4,4.56,1492
E01002364,0.37,0.59,0.44,0.15,0.0,0.44,0.15,0.81,0.81,0.44,4.17,1366
E01002365,0.37,0.6,0.45,0.22,0.22,0.67,0.45,0.97,0.67,0.45,5.09,1335
E01002366,0.32,0.51,0.32,0.19,0.13,0.51,0.39,0.71,0.71,0.39,4.17,1557
E01002367,0.3,0.47,0.3,0.18,0.12,0.47,0.36,0.77,0.65,0.36,3.96,1690
E01002368,0.24,0.32,0.24,0.12,0.12,0.36,0.24,0.52,0.52,0.32,3.01,2488
E01002369,0.29,0.38,0.29,0.14,0.14,0.43,0.24,0.43,0.52,0.38,3.23,2104
E01002370,0.24,0.32,0.24,0.12,0.12,0.36,0.24,0.53,0.53,0.32,3.04,2468
E01002371,0.35,0.46,0.35,0.17,0.17,0.52,0.29,0.75,0.64,0.35,4.05,1729
E01002372,0.3,0.35,0.35,0.18,0.12,0.53,0.35,0.65,0.65,0.35,3.84,1693
E01002373,0.29,0.29,0.29,0.18,0.18,0.53,0.18,0.47,0.65,0.35,3.42,1698
E01002374,0.34,0.46,0.34,0.17,0.11,0.52,0.34,0.75,0.63,0.34,4.02,1742
E01002375,0.31,0.42,0.31,0.16,0.16,0.47,0.16,0.47,0.67,0.31,3.43,1926
E01002376,0.35,0.42,0.21,0.14,0.14,0.42,0.14,0.56,0.63,0.42,3.46,1418
E01002377,0.34,0.45,0.34,0.17,0.17,0.45,0.34,0.73,0.73,0.34,4.04,1781
E01002378,0.35,0.35,0.17,0.17,0.12,0.52,0.17,0.46,0.52,0.35,3.17,1735
E01002379,0.18,0.49,0.37,0.18,0.18,0.55,0.37,0.8,0.68,0.37,4.18,1626
E01002380,0.26,0.35,0.26,0.13,0.13,0.39,0.26,0.39,0.39,0.26,2.84,2288
E01002381,0.31,0.49,0.37,0.18,0.12,0.37,0.31,0.49,0.68,0.37,3.7,1622
E01002382,0.16,0.33,0.27,0.16,0.16,0.49,0.27,0.6,0.49,0.33,3.28,1828
E01002383,0.29,0.47,0.35,0.18,0.18,0.53,0.29,0.64,0.53,0.35,3.81,1708
E01002384,0.37,0.49,0.37,0.18,0.18,0.49,0.37,0.79,0.79,0.37,4.38,1642
E01002385,0.38,0.5,0.38,0.19,0.19,0.57,0.31,0.69,0.69,0.38,4.28,1590
E01002386,0.29,0.39,0.29,0.14,0.14,0.43,0.29,0.63,0.43,0.29,3.33,2073
E01002387,0.31,0.49,0.12,0.18,0.12,0.49,0.31,0.8,0.68,0.37,3.88,1624
E01002388,0.31,0.5,0.12,0.19,0.0,0.31,0.31,0.37,0.69,0.37,3.19,1601
E01002389,0.32,0.51,0.19,0.19,0.13,0.38,0.19,0.38,0.82,0.38,3.47,1584
E01002390,0.34,0.41,0.2,0.14,0.14,0.41,0.34,0.61,0.75,0.41,3.74,1469
E01002391,0.29,0.46,0.29,0.17,0.17,0.46,0.29,0.51,0.63,0.46,3.71,1752
E01002392,0.28,0.45,0.34,0.17,0.11,0.51,0.28,0.74,0.74,0.34,3.97,1764
E01002393,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.6,0.6,0.28,3.39,2154
E01002394,0.35,0.35,0.35,0.17,0.12,0.52,0.17,0.46,0.75,0.46,3.72,1722
E01002395,0.43,0.43,0.36,0.22,0.14,0.57,0.22,0.65,0.65,0.43,4.09,1392
E01002396,0.32,0.43,0.32,0.16,0.16,0.48,0.32,0.59,0.59,0.32,3.7,1866
E01002397,0.3,0.41,0.3,0.15,0.15,0.46,0.3,0.66,0.56,0.41,3.7,1972
E01002398,0.33,0.27,0.33,0.16,0.16,0.43,0.16,0.49,0.6,0.33,3.25,1844
E01002399,0.36,0.36,0.36,0.18,0.12,0.54,0.18,0.66,0.66,0.36,3.8,1660
E01002400,0.25,0.4,0.3,0.15,0.15,0.45,0.25,0.55,0.55,0.45,3.51,1992
E01002401,0.26,0.35,0.26,0.13,0.13,0.48,0.26,0.56,0.48,0.35,3.25,2308
E01002402,0.31,0.37,0.37,0.19,0.12,0.69,0.19,0.56,0.69,0.37,3.87,1604
E01002403,0.21,0.25,0.25,0.12,0.08,0.37,0.12,0.37,0.45,0.25,2.48,2421
E01002404,0.25,0.39,0.29,0.15,0.15,0.44,0.29,0.54,0.54,0.29,3.34,2034
E01002405,0.3,0.4,0.3,0.15,0.15,0.55,0.3,0.55,0.55,0.4,3.66,1992
E01002408,0.3,0.48,0.36,0.18,0.18,0.54,0.3,0.54,0.79,0.48,4.17,1653
E01002409,0.3,0.4,0.3,0.15,0.1,0.4,0.15,0.64,0.55,0.3,3.27,2018
E01002410,0.31,0.31,0.31,0.15,0.15,0.46,0.31,0.66,0.56,0.31,3.52,1958
E01002411,0.24,0.24,0.28,0.14,0.14,0.38,0.14,0.52,0.52,0.28,2.88,2120
E01002412,0.26,0.34,0.26,0.13,0.13,0.38,0.26,0.55,0.47,0.34,3.11,2346
E01002413,0.36,0.49,0.36,0.18,0.12,0.55,0.36,0.79,0.67,0.36,4.26,1645
E01002414,0.19,0.25,0.19,0.1,0.06,0.29,0.16,0.41,0.35,0.25,2.25,3156
E01002415,0.29,0.46,0.29,0.17,0.11,0.46,0.17,0.51,0.63,0.34,3.42,1752
E01002416,0.29,0.35,0.29,0.12,0.12,0.46,0.12,0.64,0.64,0.46,3.48,1722
E01002417,0.28,0.45,0.28,0.17,0.17,0.45,0.34,0.73,0.61,0.34,3.8,1790
E01002418,0.28,0.33,0.28,0.11,0.11,0.44,0.17,0.33,0.61,0.33,2.99,1808
E01002419,0.29,0.35,0.18,0.18,0.12,0.47,0.18,0.65,0.65,0.35,3.42,1696
E01002420,0.38,0.32,0.19,0.19,0.13,0.57,0.13,0.51,0.7,0.38,3.48,1582
E01002421,0.29,0.46,0.35,0.17,0.17,0.63,0.29,0.75,0.63,0.35,4.09,1734
E01002422,0.39,0.52,0.39,0.19,0.19,0.58,0.39,0.84,0.58,0.39,4.46,1547
E01002423,0.27,0.43,0.33,0.16,0.11,0.6,0.33,0.7,0.6,0.33,3.85,1844
E01002424,0.35,0.47,0.29,0.18,0.18,0.47,0.29,0.47,0.65,0.47,3.82,1701
E01002425,0.29,0.35,0.35,0.18,0.12,0.53,0.29,0.47,0.65,0.35,3.6,1696
E01002426,0.24,0.39,0.29,0.15,0.1,0.39,0.15,0.54,0.54,0.29,3.08,2047
E01002427,0.19,0.37,0.37,0.19,0.19,0.37,0.31,0.68,0.68,0.37,3.7,1620
E01002428,0.38,0.32,0.38,0.19,0.13,0.38,0.32,0.38,0.7,0.38,3.57,1567
E01002429,0.38,0.38,0.38,0.13,0.19,0.58,0.32,0.7,0.7,0.38,4.16,1561
E01002430,0.35,0.42,0.35,0.14,0.14,0.56,0.21,0.63,0.77,0.42,3.98,1432
E01002431,0.22,0.43,0.22,0.22,0.14,0.43,0.22,0.58,0.65,0.43,3.54,1385
E01002432,0.33,0.53,0.39,0.2,0.2,0.59,0.39,0.86,0.72,0.39,4.61,1520
E01002433,0.2,0.32,0.2,0.12,0.08,0.36,0.12,0.44,0.44,0.24,2.52,2498
E01002434,0.45,0.6,0.38,0.15,0.15,0.45,0.45,0.83,0.68,0.6,4.74,1328
E01002435,0.32,0.38,0.19,0.19,0.13,0.57,0.13,0.51,0.57,0.51,3.5,1571
E01002436,0.35,0.47,0.29,0.18,0.12,0.47,0.18,0.76,0.64,0.35,3.81,1708
E01002437,0.21,0.42,0.21,0.14,0.14,0.35,0.21,0.56,0.78,0.42,3.46,1416
E01002438,0.41,0.54,0.34,0.2,0.14,0.54,0.2,0.54,0.75,0.41,4.08,1472
E01002439,0.38,0.51,0.32,0.19,0.19,0.57,0.38,0.7,0.7,0.38,4.31,1577
E01002440,0.38,0.51,0.38,0.19,0.13,0.51,0.32,0.51,0.7,0.38,4.03,1563
E01002441,0.31,0.5,0.37,0.19,0.19,0.5,0.31,0.56,0.81,0.37,4.11,1605
E01002442,0.32,0.5,0.38,0.19,0.13,0.57,0.19,0.57,0.69,0.38,3.91,1587
E01002443,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.55,0.55,0.3,3.43,1985
E01002444,0.32,0.43,0.32,0.16,0.16,0.69,0.32,0.69,0.69,0.43,4.22,1872
E01002445,0.33,0.44,0.33,0.16,0.16,0.49,0.33,0.71,0.71,0.33,3.98,1832
E01002446,0.27,0.36,0.27,0.14,0.14,0.5,0.23,0.59,0.5,0.27,3.28,2194
E01002447,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.61,0.61,0.28,3.42,2134
E01002448,0.27,0.36,0.27,0.13,0.13,0.49,0.27,0.49,0.58,0.36,3.36,2230
E01002449,0.23,0.37,0.28,0.14,0.14,0.51,0.28,0.6,0.51,0.37,3.44,2149
E01002450,0.33,0.4,0.33,0.2,0.13,0.53,0.2,0.53,0.73,0.4,3.78,1509
E01002451,0.2,0.4,0.4,0.2,0.2,0.6,0.33,0.6,0.6,0.53,4.07,1498
E01002452,0.39,0.39,0.33,0.2,0.13,0.59,0.39,0.85,0.72,0.39,4.37,1532
E01002453,0.34,0.34,0.34,0.11,0.17,0.34,0.17,0.46,0.63,0.34,3.25,1755
E01002454,0.31,0.31,0.31,0.15,0.15,0.46,0.26,0.67,0.56,0.31,3.49,1947
E01002455,0.25,0.41,0.3,0.15,0.15,0.46,0.25,0.66,0.46,0.3,3.4,1973
E01002456,0.34,0.46,0.34,0.17,0.17,0.52,0.34,0.75,0.63,0.34,4.07,1744
E01002457,0.37,0.5,0.37,0.19,0.19,0.56,0.31,0.68,0.68,0.37,4.21,1614
E01002458,0.35,0.42,0.35,0.21,0.21,0.56,0.21,0.63,0.77,0.42,4.11,1437
E01002459,0.18,0.48,0.18,0.12,0.12,0.3,0.3,0.36,0.54,0.36,2.92,1677
E01002460,0.35,0.56,0.35,0.21,0.21,0.63,0.42,0.92,0.63,0.42,4.72,1420
E01002461,0.4,0.53,0.33,0.2,0.13,0.6,0.13,0.73,0.73,0.4,4.18,1507
E01002462,0.2,0.53,0.4,0.13,0.13,0.33,0.13,0.4,0.73,0.4,3.38,1509
E01002463,0.41,0.41,0.41,0.14,0.14,0.62,0.21,0.62,0.62,0.41,4.0,1449
E01002464,0.37,0.5,0.37,0.12,0.12,0.37,0.12,0.56,0.56,0.37,3.49,1605
E01002465,0.36,0.48,0.36,0.18,0.18,0.54,0.12,0.66,0.66,0.36,3.9,1668
E01002466,0.18,0.35,0.29,0.18,0.0,0.53,0.18,0.65,0.65,0.35,3.36,1698
E01002467,0.32,0.38,0.19,0.19,0.13,0.5,0.32,0.69,0.57,0.38,3.66,1586
E01002468,0.29,0.34,0.29,0.17,0.11,0.34,0.17,0.51,0.63,0.34,3.2,1748
E01002469,0.3,0.36,0.3,0.12,0.18,0.54,0.18,0.54,0.66,0.36,3.54,1666
E01002470,0.32,0.43,0.32,0.16,0.16,0.59,0.32,0.69,0.59,0.32,3.9,1874
E01002471,0.3,0.36,0.3,0.18,0.18,0.48,0.18,0.67,0.67,0.36,3.69,1651
E01002472,0.36,0.48,0.3,0.18,0.12,0.54,0.36,0.77,0.66,0.36,4.11,1679
E01002473,0.36,0.48,0.36,0.18,0.18,0.48,0.3,0.48,0.78,0.36,3.94,1676
E01002474,0.34,0.46,0.34,0.17,0.17,0.46,0.29,0.51,0.63,0.34,3.72,1749
E01002475,0.32,0.51,0.38,0.19,0.13,0.57,0.19,0.57,0.7,0.38,3.93,1577
E01002476,0.36,0.36,0.3,0.18,0.0,0.48,0.12,0.48,0.54,0.36,3.2,1654
E01002477,0.38,0.6,0.23,0.15,0.0,0.68,0.38,0.68,0.98,0.45,4.53,1324
E01002478,0.31,0.49,0.31,0.19,0.12,0.56,0.37,0.8,0.56,0.49,4.19,1621
E01002479,0.27,0.43,0.33,0.16,0.16,0.49,0.27,0.6,0.7,0.33,3.74,1846
E01002480,0.27,0.44,0.16,0.11,0.0,0.33,0.27,0.44,0.49,0.33,2.83,1835
E01002481,0.31,0.49,0.31,0.18,0.18,0.55,0.37,0.55,0.67,0.37,3.99,1631
E01002482,0.19,0.37,0.19,0.19,0.0,0.5,0.19,0.5,0.56,0.37,3.03,1615
E01002483,0.3,0.41,0.3,0.15,0.15,0.46,0.3,0.66,0.56,0.3,3.61,1968
E01002484,0.34,0.41,0.41,0.21,0.21,0.62,0.34,0.55,0.76,0.41,4.27,1451
E01002485,0.29,0.39,0.29,0.14,0.14,0.43,0.29,0.63,0.53,0.29,3.43,2070
E01002486,0.27,0.36,0.23,0.14,0.14,0.41,0.27,0.59,0.5,0.41,3.31,2207
E01002487,0.26,0.41,0.31,0.16,0.16,0.47,0.26,0.67,0.57,0.41,3.68,1929
E01002488,0.29,0.46,0.29,0.17,0.17,0.46,0.29,0.52,0.64,0.35,3.64,1731
E01002489,0.25,0.41,0.3,0.15,0.15,0.46,0.3,0.66,0.56,0.41,3.65,1974
E01002490,0.23,0.37,0.28,0.14,0.09,0.42,0.28,0.51,0.51,0.37,3.19,2162
E01002491,0.29,0.46,0.34,0.17,0.17,0.52,0.29,0.63,0.75,0.46,4.07,1743
E01002492,0.35,0.46,0.35,0.17,0.17,0.46,0.29,0.75,0.64,0.46,4.1,1730
E01002493,0.25,0.3,0.3,0.15,0.15,0.45,0.25,0.55,0.65,0.3,3.33,2010
E01002494,0.28,0.44,0.33,0.17,0.17,0.44,0.11,0.5,0.5,0.33,3.28,1799
E01002495,0.32,0.42,0.32,0.16,0.16,0.47,0.32,0.58,0.58,0.32,3.63,1903
E01002496,0.31,0.41,0.31,0.15,0.15,0.46,0.31,0.67,0.57,0.31,3.66,1942
E01002497,0.24,0.32,0.24,0.12,0.12,0.44,0.24,0.52,0.52,0.32,3.1,2481
E01002498,0.35,0.57,0.42,0.21,0.21,0.57,0.35,0.64,0.64,0.42,4.39,1413
E01002499,0.28,0.37,0.28,0.14,0.09,0.37,0.23,0.42,0.51,0.28,2.99,2142
E01002501,0.29,0.46,0.34,0.17,0.17,0.52,0.17,0.63,0.63,0.34,3.72,1746
E01002502,0.25,0.3,0.3,0.15,0.15,0.45,0.3,0.4,0.55,0.3,3.18,1984
E01002503,0.32,0.42,0.32,0.16,0.16,0.47,0.32,0.69,0.58,0.32,3.74,1897
E01002505,0.33,0.45,0.33,0.17,0.17,0.5,0.33,0.73,0.61,0.45,4.07,1793
E01002506,0.28,0.38,0.28,0.14,0.14,0.42,0.28,0.61,0.61,0.38,3.53,2126
E01002507,0.26,0.41,0.31,0.15,0.15,0.46,0.31,0.66,0.56,0.31,3.57,1959
E01002508,0.28,0.37,0.28,0.14,0.14,0.41,0.23,0.51,0.51,0.28,3.13,2170
E01002509,0.2,0.4,0.4,0.2,0.2,0.4,0.34,0.61,0.61,0.4,3.77,1484
E01002511,0.36,0.49,0.36,0.18,0.18,0.55,0.3,0.67,0.67,0.49,4.26,1645
E01002512,0.29,0.29,0.29,0.14,0.1,0.43,0.29,0.62,0.53,0.29,3.27,2080
E01002513,0.42,0.56,0.42,0.21,0.14,0.63,0.42,0.91,0.77,0.42,4.9,1429
E01002514,0.3,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.65,0.3,3.63,2009
E01002516,0.4,0.4,0.4,0.2,0.2,0.54,0.13,0.61,0.61,0.4,3.91,1485
E01002518,0.38,0.62,0.46,0.23,0.15,0.69,0.38,0.69,0.69,0.46,4.77,1299
E01002519,0.26,0.42,0.31,0.16,0.16,0.47,0.31,0.57,0.57,0.31,3.55,1915
E01002520,0.3,0.4,0.3,0.15,0.15,0.45,0.25,0.65,0.65,0.3,3.6,1999
E01002521,0.29,0.39,0.29,0.15,0.15,0.53,0.29,0.63,0.53,0.29,3.54,2060
E01002523,0.37,0.37,0.37,0.18,0.18,0.55,0.18,0.8,0.68,0.37,4.06,1626
E01002525,0.28,0.45,0.34,0.17,0.11,0.5,0.28,0.73,0.61,0.34,3.8,1790
E01002526,0.2,0.27,0.2,0.1,0.07,0.31,0.2,0.44,0.44,0.2,2.46,2927
E01002527,0.37,0.49,0.37,0.19,0.19,0.68,0.37,0.68,0.68,0.37,4.38,1621
E01002528,0.35,0.46,0.35,0.17,0.17,0.52,0.29,0.46,0.75,0.35,3.87,1731
E01002529,0.24,0.32,0.24,0.12,0.12,0.44,0.24,0.52,0.52,0.24,3.0,2504
E01002530,0.33,0.33,0.33,0.17,0.17,0.5,0.33,0.61,0.61,0.33,3.7,1812
E01002531,0.29,0.47,0.35,0.18,0.18,0.53,0.29,0.65,0.77,0.35,4.07,1697
E01002533,0.41,0.55,0.34,0.21,0.21,0.55,0.21,0.55,0.76,0.41,4.19,1456
E01002534,0.33,0.4,0.33,0.2,0.13,0.53,0.2,0.53,0.72,0.4,3.75,1518
E01002535,0.27,0.36,0.27,0.14,0.14,0.41,0.27,0.59,0.5,0.27,3.22,2203
E01002536,0.42,0.56,0.35,0.21,0.21,0.56,0.35,0.9,0.76,0.42,4.73,1439
E01002537,0.2,0.32,0.24,0.12,0.08,0.36,0.24,0.52,0.36,0.24,2.7,2483
E01002538,0.36,0.36,0.36,0.18,0.18,0.53,0.36,0.77,0.77,0.36,4.21,1685
E01002539,0.29,0.35,0.29,0.18,0.12,0.35,0.29,0.47,0.65,0.35,3.35,1701
E01002540,0.32,0.43,0.32,0.16,0.16,0.48,0.32,0.7,0.59,0.32,3.83,1856
E01002541,0.3,0.3,0.3,0.15,0.1,0.4,0.3,0.65,0.45,0.3,3.24,2008
E01002542,0.24,0.38,0.28,0.14,0.14,0.43,0.28,0.61,0.61,0.38,3.5,2117
E01002543,0.3,0.3,0.3,0.15,0.1,0.56,0.25,0.46,0.56,0.3,3.3,1972
E01002544,0.35,0.35,0.35,0.12,0.17,0.52,0.35,0.76,0.64,0.35,3.96,1717
E01002545,0.39,0.52,0.39,0.2,0.13,0.59,0.39,0.85,0.72,0.39,4.59,1524
E01002546,0.35,0.35,0.35,0.17,0.17,0.46,0.29,0.64,0.64,0.35,3.76,1727
E01002547,0.35,0.47,0.35,0.18,0.18,0.53,0.18,0.77,0.65,0.47,4.13,1694
E01002548,0.28,0.38,0.28,0.14,0.14,0.43,0.24,0.52,0.52,0.28,3.21,2117
E01002549,0.32,0.43,0.32,0.16,0.11,0.48,0.27,0.48,0.59,0.32,3.49,1862
E01002550,0.27,0.32,0.32,0.16,0.16,0.48,0.16,0.43,0.59,0.32,3.21,1872
E01002551,0.24,0.29,0.29,0.14,0.14,0.43,0.24,0.52,0.52,0.29,3.1,2098
E01002552,0.35,0.46,0.35,0.17,0.17,0.52,0.17,0.64,0.64,0.46,3.93,1730
E01002553,0.34,0.28,0.34,0.17,0.17,0.51,0.28,0.74,0.63,0.46,3.93,1755
E01002555,0.29,0.39,0.24,0.14,0.14,0.43,0.29,0.53,0.53,0.29,3.29,2069
E01002556,0.27,0.42,0.27,0.16,0.16,0.42,0.16,0.58,0.58,0.42,3.45,1886
E01002557,0.29,0.38,0.29,0.14,0.14,0.53,0.29,0.62,0.43,0.29,3.4,2086
E01002558,0.26,0.35,0.26,0.13,0.13,0.4,0.22,0.57,0.49,0.26,3.09,2265
E01002559,0.23,0.31,0.23,0.12,0.12,0.35,0.23,0.5,0.42,0.31,2.82,2591
E01002560,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.55,0.3,3.52,1990
E01002561,0.35,0.35,0.35,0.18,0.18,0.53,0.18,0.53,0.53,0.35,3.52,1703
E01002562,0.34,0.54,0.41,0.2,0.2,0.61,0.41,0.88,0.75,0.54,4.88,1475
E01002563,0.26,0.42,0.31,0.16,0.1,0.47,0.26,0.68,0.58,0.31,3.57,1907
E01002564,0.32,0.42,0.32,0.16,0.16,0.47,0.32,0.68,0.58,0.32,3.73,1903
E01002565,0.22,0.29,0.22,0.11,0.11,0.41,0.22,0.48,0.41,0.22,2.69,2714
E01002567,0.27,0.44,0.33,0.16,0.16,0.6,0.27,0.71,0.6,0.44,3.97,1839
E01002569,0.24,0.38,0.29,0.14,0.14,0.43,0.14,0.62,0.53,0.29,3.21,2087
E01002570,0.36,0.49,0.3,0.18,0.12,0.49,0.36,0.79,0.67,0.36,4.13,1645
E01002571,0.39,0.62,0.23,0.16,0.16,0.62,0.23,0.7,0.86,0.47,4.44,1283
E01002572,0.31,0.5,0.37,0.19,0.19,0.56,0.37,0.69,0.69,0.37,4.24,1604
E01002573,0.19,0.51,0.38,0.19,0.19,0.57,0.32,0.7,0.83,0.38,4.28,1567
E01002574,0.29,0.35,0.29,0.17,0.12,0.46,0.35,0.75,0.75,0.35,3.86,1735
E01002575,0.18,0.49,0.36,0.18,0.18,0.49,0.3,0.67,0.67,0.36,3.89,1646
E01002576,0.36,0.48,0.36,0.18,0.12,0.48,0.3,0.54,0.54,0.36,3.74,1658
E01002577,0.36,0.48,0.36,0.12,0.18,0.54,0.3,0.67,0.67,0.36,4.05,1653
E01002578,0.33,0.52,0.39,0.2,0.2,0.52,0.39,0.85,0.72,0.39,4.49,1537
E01002579,0.34,0.46,0.29,0.17,0.11,0.34,0.17,0.63,0.63,0.34,3.49,1748
E01002580,0.34,0.55,0.41,0.21,0.21,0.62,0.21,0.75,0.75,0.41,4.44,1463
E01002581,0.27,0.42,0.32,0.16,0.16,0.48,0.32,0.58,0.58,0.32,3.61,1884
E01002582,0.17,0.46,0.35,0.17,0.12,0.52,0.17,0.64,0.64,0.35,3.58,1732
E01002583,0.33,0.44,0.33,0.16,0.16,0.49,0.27,0.71,0.6,0.33,3.83,1826
E01002584,0.24,0.38,0.28,0.14,0.14,0.42,0.28,0.61,0.52,0.28,3.31,2118
E01002585,0.32,0.43,0.32,0.16,0.16,0.48,0.27,0.7,0.7,0.32,3.86,1864
E01002586,0.26,0.42,0.26,0.16,0.16,0.47,0.26,0.58,0.58,0.31,3.46,1910
E01002587,0.25,0.33,0.25,0.12,0.12,0.37,0.21,0.45,0.45,0.33,2.87,2436
E01002588,0.24,0.39,0.29,0.15,0.15,0.39,0.15,0.63,0.54,0.29,3.22,2048
E01002589,0.24,0.32,0.24,0.12,0.12,0.44,0.2,0.52,0.52,0.32,3.01,2523
E01002590,0.23,0.23,0.23,0.12,0.08,0.35,0.23,0.5,0.42,0.31,2.69,2600
E01002591,0.31,0.42,0.26,0.16,0.16,0.47,0.16,0.57,0.57,0.31,3.39,1916
E01002592,0.27,0.36,0.27,0.13,0.13,0.4,0.27,0.58,0.49,0.27,3.15,2253
E01002593,0.24,0.33,0.24,0.12,0.12,0.37,0.24,0.53,0.45,0.24,2.89,2456
E01002594,0.26,0.34,0.26,0.13,0.13,0.38,0.26,0.47,0.47,0.26,2.94,2344
E01002595,0.26,0.26,0.26,0.13,0.13,0.39,0.22,0.57,0.48,0.26,2.98,2284
E01002596,0.27,0.37,0.27,0.14,0.09,0.5,0.23,0.37,0.41,0.27,2.93,2182
E01002598,0.3,0.4,0.3,0.15,0.15,0.66,0.3,0.66,0.66,0.3,3.88,1983
E01002599,0.38,0.5,0.38,0.19,0.19,0.57,0.31,0.57,0.69,0.38,4.16,1588
E01002600,0.18,0.36,0.36,0.18,0.18,0.54,0.18,0.54,0.66,0.36,3.56,1656
E01002601,0.3,0.41,0.3,0.15,0.15,0.56,0.25,0.66,0.56,0.3,3.65,1973
E01002602,0.39,0.52,0.2,0.2,0.2,0.59,0.2,0.85,0.59,0.39,4.12,1530
E01002603,0.25,0.3,0.3,0.15,0.1,0.45,0.15,0.4,0.55,0.3,2.96,1994
E01002604,0.36,0.36,0.36,0.18,0.18,0.67,0.3,0.79,0.55,0.48,4.24,1651
E01002605,0.26,0.34,0.26,0.13,0.09,0.39,0.21,0.56,0.47,0.26,2.97,2326
E01002606,0.3,0.47,0.36,0.18,0.18,0.47,0.3,0.77,0.65,0.36,4.02,1690
E01002607,0.25,0.33,0.25,0.12,0.12,0.37,0.25,0.53,0.45,0.25,2.91,2442
E01002608,0.27,0.43,0.32,0.16,0.16,0.48,0.32,0.69,0.69,0.32,3.83,1882
E01002609,0.28,0.34,0.34,0.17,0.17,0.51,0.28,0.62,0.51,0.34,3.54,1782
E01002610,0.28,0.45,0.34,0.17,0.17,0.51,0.17,0.62,0.73,0.34,3.77,1778
E01002611,0.29,0.44,0.29,0.15,0.15,0.54,0.29,0.64,0.54,0.29,3.64,2034
E01002612,0.29,0.39,0.29,0.15,0.15,0.44,0.29,0.63,0.53,0.29,3.44,2065
E01002613,0.26,0.41,0.31,0.15,0.15,0.41,0.26,0.41,0.57,0.31,3.24,1943
E01002614,0.28,0.37,0.28,0.14,0.14,0.42,0.28,0.6,0.51,0.28,3.3,2150
E01002615,0.36,0.48,0.36,0.18,0.18,0.53,0.36,0.77,0.65,0.48,4.33,1684
E01002616,0.31,0.5,0.37,0.19,0.19,0.5,0.37,0.81,0.56,0.37,4.16,1612
E01002617,0.31,0.49,0.31,0.18,0.12,0.49,0.18,0.55,0.8,0.37,3.81,1627
E01002618,0.29,0.29,0.29,0.1,0.1,0.39,0.29,0.53,0.53,0.29,3.09,2069
E01002619,0.14,0.38,0.24,0.14,0.09,0.38,0.24,0.61,0.42,0.28,2.93,2118
E01002620,0.23,0.3,0.23,0.11,0.11,0.34,0.19,0.49,0.49,0.3,2.79,2656
E01002621,0.3,0.39,0.3,0.15,0.15,0.44,0.25,0.54,0.54,0.3,3.36,2026
E01002622,0.31,0.31,0.31,0.16,0.1,0.41,0.16,0.67,0.47,0.41,3.31,1933
E01002623,0.26,0.41,0.31,0.16,0.1,0.57,0.26,0.67,0.57,0.31,3.63,1931
E01002624,0.34,0.45,0.34,0.17,0.17,0.51,0.34,0.73,0.62,0.34,4.01,1770
E01002625,0.29,0.46,0.29,0.17,0.17,0.46,0.17,0.63,0.63,0.34,3.62,1742
E01002626,0.36,0.48,0.36,0.18,0.18,0.54,0.3,0.78,0.66,0.36,4.2,1668
E01002627,0.33,0.33,0.33,0.17,0.17,0.5,0.28,0.5,0.61,0.33,3.53,1813
E01002628,0.23,0.36,0.27,0.14,0.14,0.41,0.23,0.59,0.5,0.27,3.13,2202
E01002629,0.23,0.31,0.23,0.12,0.12,0.35,0.19,0.5,0.5,0.23,2.79,2580
E01002630,0.24,0.39,0.29,0.14,0.14,0.43,0.29,0.63,0.53,0.29,3.38,2070
E01002631,0.33,0.44,0.33,0.16,0.16,0.49,0.33,0.6,0.49,0.49,3.81,1836
E01002632,0.26,0.41,0.26,0.15,0.1,0.46,0.31,0.67,0.56,0.31,3.49,1950
E01002633,0.27,0.36,0.27,0.14,0.14,0.5,0.23,0.59,0.59,0.27,3.36,2200
E01002634,0.28,0.44,0.33,0.17,0.17,0.5,0.33,0.72,0.61,0.33,3.85,1818
E01002635,0.25,0.4,0.3,0.15,0.15,0.45,0.3,0.65,0.55,0.3,3.48,2014
E01002636,0.24,0.38,0.28,0.14,0.14,0.42,0.14,0.61,0.52,0.28,3.16,2120
E01002637,0.31,0.41,0.31,0.16,0.16,0.41,0.31,0.67,0.57,0.41,3.73,1930
E01002638,0.23,0.37,0.28,0.14,0.14,0.41,0.28,0.6,0.5,0.28,3.21,2180
E01002639,0.28,0.45,0.34,0.17,0.17,0.51,0.34,0.74,0.74,0.34,4.09,1760
E01002640,0.26,0.35,0.26,0.13,0.13,0.56,0.22,0.47,0.47,0.26,3.11,2316
E01002641,0.22,0.3,0.22,0.11,0.11,0.41,0.22,0.48,0.48,0.3,2.85,2698
E01002643,0.22,0.29,0.22,0.11,0.11,0.33,0.11,0.4,0.4,0.22,2.41,2736
