LSOA11CD,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,residential_sim,commercial_sim,industrial_sim,civil_and_governmental_sim,health_care_sim,education_sim,hotel_sim,sports_and_recreation_sim,outdoors_and_natural_sim,transportation_sim,predicted_function
E01001329,0.2116049130757649,0.011759757995605424,0.012665112813313763,0.00066932042439775,0.010676225026448544,0.0038509368896483998,0.0,0.0007112820943196563,0.38248252868652344,0.06036551793416338,0.2267060279846191,1.5735626220703125e-05,0.0,0.07395299275716143,0.0,0.0,0.0,0.0020162264506021874,0.0025234222412109,0.10969875513893164,0.10682376834972333,0.10822461323432583,0.07926471437273182,0.09941810786482473,0.1062241926122861,0.07972831451111709,0.09590074097605922,0.10406601982479016,0.1106507731152097,transportation
E01001330,0.2110963871367756,0.003945202074853076,0.0013905277958622593,0.009224983802897989,0.0022981967661062754,0.003782896396976523,0.00013379697446468054,0.0016120698357895208,0.2626912461139357,0.09782469115688995,0.3394205375128559,1.8054780763777778e-05,0.0,0.05284531242056393,0.006674731219256356,0.0,0.0,0.006867020218460601,0.00017434579354744446,0.10620948120789823,0.11259731343964324,0.11736180093114015,0.07578107922214396,0.09908365803927704,0.09986575322922009,0.08251296425587838,0.0913770721524949,0.08818584101449904,0.1270250365078045,transportation
E01001331,0.2068522135416666,0.00631917317708328,0.0005879720052083317,0.013529713948567659,0.0073211669921874655,0.00273030598958328,1.4495849609375e-05,0.00045420328776038,0.24393641153971352,0.09911956787109372,0.3601168314615885,5.340576171875e-06,0.0,0.05239893595377598,0.0,0.0,4.374186197916e-05,0.00604502360026036,0.00052490234374998,0.10906882799796022,0.11210920828415058,0.11364132943880219,0.07454883667307063,0.10213498482114643,0.10533025302182317,0.08229676710322233,0.08893143542203348,0.08936033806737198,0.12257801917041855,transportation
E01001333,0.24618503478684664,0.049174821896059276,0.08859714287240847,0.04078852986379606,0.02906773151802644,0.002835703212713641,4.3559463602477114e-05,0.004146928900311762,0.26131106534666915,0.014470885818000873,0.21272869827530974,0.008754276353417334,0.004356291736595765,0.020636583042294626,0.00028368069797973105,0.0003882781711926897,0.0034501495155089,0.012560306876854868,0.00022033165241108906,0.1109866029349719,0.1100466811677928,0.1013437462907202,0.08294728931295667,0.09761916622081047,0.10271878856128917,0.08431115345014649,0.10116645233751234,0.1029561433108374,0.10590397641296206,residential
E01001334,0.18859521875452312,0.03063024672799359,0.07614275772076248,0.02455378424744805,0.010101656691884713,0.002507235749680866,0.00011113485270703376,0.0007050936598717917,0.2541543179619746,0.00805094609044528,0.2838101162585528,0.00484404586639864,0.009080853955499032,0.05743807014976326,0.001833685513200422,0.001089994934783581,0.0014553070068359327,0.044613903966443276,0.0002816298912311319,0.11675004873197971,0.10866225363053504,0.10379225662772615,0.07225809978747313,0.09263377020157204,0.1010108931496274,0.08229862691440858,0.10626173679770547,0.10401953826902693,0.11231277588994514,residential
E01001335,0.2074630599116148,0.0575198780955035,0.09053047050408444,0.022858807562423485,0.03499971119169447,0.005289418498553866,0.0005351639840680801,0.0031484741552350566,0.2591607872112042,0.0205899511652197,0.20848489917809684,0.0047362236347422955,0.0015323292782323714,0.037017261254638834,0.0006739289689918742,0.0061547729259175,0.020443005578684576,0.018634796142578115,0.00022706075851552606,0.11509933486568183,0.1072646568362362,0.1001346297902875,0.08046985686339932,0.10232440377892436,0.10680787831696194,0.08465648197397313,0.10092943320147403,0.10009389223362831,0.10221943213943298,residential
E01001336,0.18504910155752285,0.04716821759160807,0.11443090645892516,0.032247684783636286,0.030334822044297386,0.004831253924906452,0.0003086070880160136,0.0021717084408615756,0.1831130766140482,0.009800243090828373,0.2960391100674307,0.010517977871888753,0.00892323504670288,0.03019880481764774,0.002411371343001723,0.0006988089638735918,0.008569945303327465,0.032568724444895905,0.0006164005465803687,0.1156680444566453,0.10725870934419982,0.10126325483557803,0.0787023697929005,0.10146271513887654,0.10547263209910188,0.08543296352811475,0.10477135593099264,0.09288966846683211,0.10707828640675794,residential
E01001337,0.23111713834880207,0.0209749800794533,0.04561635518733216,0.03594064003000957,0.013671347130042326,0.002411917857617453,0.0003153322465470843,0.0005864273747873062,0.21674204908808334,0.12175907687212434,0.2848879739278123,0.0053622701291008365,0.0010721368282384778,0.010169657420065502,0.002029649652337913,0.0017722595494598509,0.00034739585589368873,0.00500502443238268,0.00021836798990944805,0.11388734015204265,0.11007516470485082,0.11024962521940358,0.07326228330609397,0.09346289848514984,0.10017079115944436,0.07052988504546027,0.10687808929255485,0.11958403801792804,0.1018998846170712,outdoors and natural
E01001338,0.2431944556749946,0.05134729076786592,0.09279978591481064,0.03789099895585852,0.03751420821922702,0.007869940876173988,0.00032215287502153865,0.0014599585765952413,0.17248547626479158,0.03488368759804392,0.28363721912484907,0.002719580871673025,0.0006491892364398485,0.024204307471489772,0.0010025440377452069,0.0015081342011772766,0.00525406508135139,0.0012341925648139721,2.281168707707222e-05,0.10091221396460469,0.10805886153679813,0.11570753635862874,0.08006512089191442,0.09890411599381255,0.10184142379776703,0.08009493337598582,0.10418324420927645,0.09021179774569105,0.1200207521255207,transportation
E01001339,0.2167953141736664,0.03243898933399124,0.046748647702746955,0.018012545146829595,0.031812752631160006,0.002503012368253671,7.620964261049134e-05,0.0010186752122629417,0.2159432074683815,0.0672783971906846,0.32214238969909526,0.0036588065380764065,0.0033826178169601663,0.018748349024325324,0.00451168957927299,0.0020347242942662285,0.0009413369532291076,0.011593992538873655,0.00035834268531306985,0.11050559320421849,0.10825850529580928,0.11158114261990386,0.07563041801514907,0.09529382980678462,0.09953148888160437,0.07373048950723109,0.10844126721490266,0.10733136002520094,0.10969590542919519,residential
