LSOA11CD,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,total_crime,centroid_lon,centroid_lat
E01000117,0.5,0.8,0.6,0.3,0.2,0.8,0.5,1.1,1.1,0.8,6.7,527656.8779212511,194297.09090896187
E01000118,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.8,0.9,0.6,6.199999999999999,528030.1853364941,194045.2923208461
E01000119,0.6,0.6,0.5,0.3,0.3,0.9,0.3,1.1,1.1,0.8,6.499999999999999,529138.9514591744,193975.5954586557
E01000120,0.5,0.8,0.5,0.3,0.3,0.9,0.5,1.1,1.1,0.6,6.6,528786.5630275883,194213.9060384994
E01000121,0.6,0.6,0.5,0.2,0.3,0.8,0.3,0.9,1.1,0.6,5.9,528293.9761628537,193653.3592630448
E01000122,0.5,0.8,0.6,0.3,0.2,0.8,0.3,0.9,0.9,0.6,5.9,529022.2048478746,193538.25556001617
E01000123,0.5,0.8,0.5,0.3,0.3,0.9,0.3,1.1,1.1,0.6,6.399999999999999,528518.9910345633,193198.39872934963
E01000124,0.6,0.8,0.6,0.3,0.3,0.9,0.6,1.1,1.1,0.6,6.899999999999999,528538.4769873801,192751.98123483307
E01000126,0.6,0.6,0.6,0.3,0.3,0.9,0.5,1.1,1.1,0.8,6.8,521194.4848555157,190577.64097930354
E01000127,0.6,0.6,0.6,0.3,0.2,0.9,0.5,1.1,0.9,0.6,6.3,520607.6667921696,191134.60110954582
E01000128,0.5,0.8,0.6,0.3,0.3,0.9,0.5,0.9,1.1,0.8,6.7,520614.0792676053,190572.80842562972
E01000129,0.5,0.8,0.6,0.3,0.3,0.9,0.6,1.3,1.1,0.9,7.300000000000001,520317.97734416235,190620.75295591613
E01000130,0.5,0.6,0.6,0.3,0.3,0.9,0.5,0.9,1.3,0.6,6.499999999999999,520992.13387182634,190949.28961754346
E01000131,0.6,0.8,0.6,0.3,0.3,1.1,0.5,1.1,1.3,0.6,7.199999999999998,520821.3764350349,190213.58228810344
E01000132,0.5,0.6,0.6,0.3,0.3,0.8,0.5,0.9,1.1,0.6,6.199999999999999,520720.5474795906,191431.0320279672
E01000133,0.5,0.6,0.6,0.3,0.2,0.9,0.5,0.9,0.9,0.6,6.0,521155.075918528,191308.54544131047
E01000134,0.6,0.6,0.6,0.3,0.3,0.8,0.5,0.9,1.1,0.6,6.299999999999999,520237.89227619465,191293.24684022862
E01000135,0.5,0.8,0.6,0.3,0.2,0.9,0.3,1.1,0.9,0.6,6.199999999999999,524705.9826171474,187036.5266372249
